"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ENSMUSG00000085601";43,2541027968514;1,14474981627378;0,324280115753515;3,53012645753435;0,000415361085919132;0,00993342431664063
"ENSMUSG00000040714";64,5828208018814;1,11167789150017;0,298223753277722;3,72766380706407;0,000193262946160503;0,00614184837069933
"ENSMUSG00000040424";11,7839620480956;-1,45603379366405;0,469981375120226;-3,09806701019073;0,00194787378966484;0,0263029115808931
"ENSMUSG00000044786";221,256351346284;1,13119612097004;0,362465755097536;3,1208358446597;0,00180338531173106;0,0250678680546132
"ENSMUSG00000045467";42,7395953376573;1,17852901164167;0,300275409641245;3,92482692155752;8,67921174191201e-05;0,00370805866575862
"ENSMUSG00000038763";18,7805032737928;1,78910527257821;0,558078698534266;3,20582971053564;0,00134673661645265;0,0211366767908515
"ENSMUSG00000044952";359,096008167476;-1,11293321257361;0,310683202583886;-3,58221237362556;0,000340696640098597;0,00887299022510058
"ENSMUSG00000048782";283,385424761975;-1,00077086274145;0,258975943639185;-3,86433909141677;0,000111390390557146;0,00437060716633434
"ENSMUSG00000030935";19,0600755590078;2,16774950573553;0,584458108550842;3,70899038617232;0,000208087327840225;0,00642066568948806
"ENSMUSG00000030680";69,8334088766872;-1,68710774139476;0,583053185858483;-2,8935743467565;0,00380884107859374;0,039008462838122
"ENSMUSG00000044139";35,2105777472468;-1,28331167286724;0,374481770285147;-3,42690025175344;0,000610513288206845;0,0122221714256626
"ENSMUSG00000042828";38,904083114821;1,96222592418788;0,520840423058194;3,76742249126204;0,000164941727123672;0,00557457794462668
"ENSMUSG00000070369";72,2739305844591;3,31906764644663;0,558232484947941;5,94567270078551;2,75323794359721e-09;2,09547217955061e-06
"ENSMUSG00000031004";26,0363988885452;-1,59480224821691;0,417316342500163;-3,82156672480731;0,000132606523172882;0,00486187687010084
"ENSMUSG00000025479";24,4155676273889;-2,79063731954252;0,591818855639865;-4,71535722957886;2,41287035514191e-06;0,000359260636389803
"ENSMUSG00000025509";1391,35499671288;1,35293780655874;0,347415091164823;3,89429774631429;9,84836228686901e-05;0,00406944337267114
"ENSMUSG00000025511";540,124928412086;1,36950267064794;0,381914184030013;3,58589109259247;0,00033592914143771;0,00880006471245023
"ENSMUSG00000009248";25,6051545398701;1,2863183126804;0,379310416840962;3,39120218050781;0,000695867464213217;0,0133313748429261
"ENSMUSG00000089736";277,842178330088;1,36066915002123;0,305432297187168;4,4548961015325;8,39338318820948e-06;0,000825134131887055
"ENSMUSG00000054717";237,337820954459;1,29596015563764;0,368302351636497;3,51873983394141;0,000433601695904347;0,0102166694077792
"ENSMUSG00000025591";567,026781138392;1,00322055746006;0,203386534733374;4,93258100284373;8,11501085307273e-07;0,000164992925208156
"ENSMUSG00000036151";33,6933773875504;-1,47465769970433;0,444524255286058;-3,31738410709528;0,000908646033825375;0,0162075526848461
"ENSMUSG00000000791";112,11195585626;2,38682617121467;0,344682246076146;6,92471456939323;4,3685543137386e-12;9,02340344204062e-09
"ENSMUSG00000002910";1368,88047948948;1,75737066596319;0,32117301096134;5,47172584864152;4,45673903711938e-08;1,59295642174137e-05
"ENSMUSG00000005470";27,4542025967151;1,40800497371775;0,318650942681868;4,4186436790914;9,93222414629008e-06;0,000925559137632407
"ENSMUSG00000031762";5433,19624756037;1,32670827579983;0,365622503259519;3,62862861003425;0,000284930795299089;0,00787955938861692
"ENSMUSG00000031765";6383,34155701542;1,0245505594821;0,305089928283477;3,35819200996413;0,000784540956457121;0,0144562376858196
"ENSMUSG00000031780";27,7631472676321;1,95739580207658;0,527841914686202;3,70829929874029;0,000208655944922739;0,00642066568948806
"ENSMUSG00000041679";62,424241918176;1,35844925130007;0,283107062406287;4,79835875429544;1,59971058148687e-06;0,000276056545377539
"ENSMUSG00000053399";45,8700784243632;1,00632435495361;0,292456967530666;3,44093137342708;0,000579715545943688;0,0118355753838343
"ENSMUSG00000061039";118,355281805396;1,16640571108317;0,270382723709126;4,31390621073103;1,60395013427754e-05;0,00128115516975418
"ENSMUSG00000033491";55,4425032686799;-1,0294497962391;0,353797992464993;-2,90971067717678;0,00361763475676695;0,0380101478795523
"ENSMUSG00000045802";14,2597872907635;1,85779016506495;0,615755297858963;3,01709164586103;0,0025521264055806;0,0308115017872119
"ENSMUSG00000072969";859,237423145457;1,03831183445221;0,254628052416171;4,07775900808903;4,54718620462462e-05;0,00245054986666096
